region,category,parameter,mode,powertrain,year,unit,value
Other Europe,Historical,EV sales,Cars,BEV,2013,,1110
Other Europe,Historical,EV sales,Cars,PHEV,2013,,270
Other Europe,Historical,EV sales,Cars,BEV,2014,,2738
Other Europe,Historical,EV sales,Cars,FCEV,2014,,6
Other Europe,Historical,EV sales,Cars,PHEV,2014,,788
Other Europe,Historical,EV sales,Cars,BEV,2015,,3312
Other Europe,Historical,EV sales,Cars,FCEV,2015,,4
Other Europe,Historical,EV sales,Cars,PHEV,2015,,1862
Other Europe,Historical,EV sales,Cars,BEV,2016,,5414
Other Europe,Historical,EV sales,Cars,FCEV,2016,,11
Other Europe,Historical,EV sales,Cars,PHEV,2016,,2286
Other Europe,Historical,EV sales,Cars,BEV,2017,,8772
Other Europe,Historical,EV sales,Cars,FCEV,2017,,2
Other Europe,Historical,EV sales,Cars,PHEV,2017,,4167
Other Europe,Historical,EV sales,Cars,BEV,2018,,12754
Other Europe,Historical,EV sales,Cars,FCEV,2018,,73
Other Europe,Historical,EV sales,Cars,PHEV,2018,,5239
Other Europe,Historical,EV sales,Cars,BEV,2019,,20346
Other Europe,Historical,EV sales,Cars,FCEV,2019,,19
Other Europe,Historical,EV sales,Cars,PHEV,2019,,7448
Other Europe,Historical,EV sales,Cars,BEV,2020,,36494
Other Europe,Historical,EV sales,Cars,FCEV,2020,,19
Other Europe,Historical,EV sales,Cars,PHEV,2020,,20965
Poland,Historical,EV sales,Cars,BEV,2010,,15
