region,category,parameter,mode,powertrain,year,unit,value
Spain,Historical,EV chargers,,Publicly available fast,2018,,618
Spain,Historical,EV chargers,,Publicly available slow,2018,,4410
Spain,Historical,EV chargers,,Publicly available fast,2019,,1003
Spain,Historical,EV chargers,,Publicly available slow,2019,,4500
Spain,Historical,EV chargers,,Publicly available fast,2020,,2120
Spain,Historical,EV chargers,,Publicly available slow,2020,,6045
Sweden,Historical,EV chargers,,Publicly available fast,2012,,5
Sweden,Historical,EV chargers,,Publicly available slow,2012,,500
Sweden,Historical,EV chargers,,Publicly available fast,2013,,1000
Sweden,Historical,EV chargers,,Publicly available slow,2013,,1000
Sweden,Historical,EV chargers,,Publicly available fast,2014,,1064.7919921875
Sweden,Historical,EV chargers,,Publicly available slow,2014,,1064.7919921875
Sweden,Historical,EV chargers,,Publicly available fast,2015,,1251
Sweden,Historical,EV chargers,,Publicly available slow,2015,,1251
Sweden,Historical,EV chargers,,Publicly available fast,2016,,1737
Sweden,Historical,EV chargers,,Publicly available slow,2016,,1737
Sweden,Historical,EV chargers,,Publicly available fast,2017,,788
Sweden,Historical,EV chargers,,Publicly available slow,2017,,2576
Sweden,Historical,EV chargers,,Publicly available fast,2018,,902
Sweden,Historical,EV chargers,,Publicly available slow,2018,,3237
Sweden,Historical,EV chargers,,Publicly available fast,2019,,1030
Sweden,Historical,EV chargers,,Publicly available slow,2019,,4036
Sweden,Historical,EV chargers,,Publicly available fast,2020,,1608
Sweden,Historical,EV chargers,,Publicly available slow,2020,,8804
Switzerland,Historical,EV chargers,,Publicly available fast,2012,,4
Switzerland,Historical,EV chargers,,Publicly available slow,2012,,400
Switzerland,Historical,EV chargers,,Publicly available fast,2013,,27
Switzerland,Historical,EV chargers,,Publicly available slow,2013,,600
Switzerland,Historical,EV chargers,,Publicly available fast,2014,,99
Switzerland,Historical,EV chargers,,Publicly available slow,2014,,1300
Switzerland,Historical,EV chargers,,Publicly available fast,2015,,207
Switzerland,Historical,EV chargers,,Publicly available slow,2015,,3399
Switzerland,Historical,EV chargers,,Publicly available fast,2016,,278
Switzerland,Historical,EV chargers,,Publicly available slow,2016,,3460
Switzerland,Historical,EV chargers,,Publicly available fast,2017,,503
Switzerland,Historical,EV chargers,,Publicly available slow,2017,,3460
Switzerland,Historical,EV chargers,,Publicly available fast,2018,,652
Switzerland,Historical,EV chargers,,Publicly available slow,2018,,4422
Switzerland,Historical,EV chargers,,Publicly available fast,2019,,786
Switzerland,Historical,EV chargers,,Publicly available slow,2019,,5414
Switzerland,Historical,EV chargers,,Publicly available fast,2020,,1158
Switzerland,Historical,EV chargers,,Publicly available slow,2020,,6676
Thailand,Historical,EV chargers,,Publicly available fast,2017,,8
Thailand,Historical,EV chargers,,Publicly available slow,2017,,88
Thailand,Historical,EV chargers,,Publicly available fast,2018,,8
Thailand,Historical,EV chargers,,Publicly available slow,2018,,88
Thailand,Historical,EV chargers,,Publicly available fast,2019,,69
Thailand,Historical,EV chargers,,Publicly available slow,2019,,748
Thailand,Historical,EV chargers,,Publicly available fast,2020,,706
Thailand,Historical,EV chargers,,Publicly available slow,2020,,1220
United Kingdom,Historical,EV chargers,,Publicly available slow,2011,,1503
United Kingdom,Historical,EV chargers,,Publicly available fast,2012,,36
United Kingdom,Historical,EV chargers,,Publicly available slow,2012,,2804
United Kingdom,Historical,EV chargers,,Publicly available fast,2013,,256
United Kingdom,Historical,EV chargers,,Publicly available slow,2013,,5435
United Kingdom,Historical,EV chargers,,Publicly available fast,2014,,524
United Kingdom,Historical,EV chargers,,Publicly available slow,2014,,7182
United Kingdom,Historical,EV chargers,,Publicly available fast,2015,,1066
United Kingdom,Historical,EV chargers,,Publicly available slow,2015,,8174
United Kingdom,Historical,EV chargers,,Publicly available fast,2016,,1763
United Kingdom,Historical,EV chargers,,Publicly available slow,2016,,11497
United Kingdom,Historical,EV chargers,,Publicly available fast,2017,,2179
