region,parameter,powertrain,year,unit,value
Netherlands,EV sales,BEV,2012,N/A,786.0
Netherlands,EV sales,PHEV,2012,N/A,4331.0
Netherlands,EV sales share,EV,2012,percent,1.026
Netherlands,EV sales,BEV,2013,N/A,2251.0
Netherlands,EV sales,PHEV,2013,N/A,20164.0
Netherlands,EV sales share,EV,2013,percent,5.391
Netherlands,EV sales,BEV,2014,N/A,2664.0
Netherlands,EV sales,FCEV,2014,N/A,2.211
Netherlands,EV sales,PHEV,2014,N/A,12425.0
Netherlands,EV sales share,EV,2014,percent,3.876
Netherlands,EV sales,BEV,2015,N/A,2543.0
Netherlands,EV sales,FCEV,2015,N/A,21.0
Netherlands,EV sales,PHEV,2015,N/A,41226.0
Netherlands,EV sales share,EV,2015,percent,9.795
Netherlands,EV sales,BEV,2016,N/A,4054.0
Netherlands,EV sales,FCEV,2016,N/A,7.0
Netherlands,EV sales,PHEV,2016,N/A,18619.0
Netherlands,EV sales share,EV,2016,percent,5.965
Netherlands,EV sales,BEV,2017,N/A,9194.0
Netherlands,EV sales,FCEV,2017,N/A,5.0
Netherlands,EV sales,PHEV,2017,N/A,1130.0
Netherlands,EV sales share,EV,2017,percent,2.5
Netherlands,EV sales,BEV,2018,N/A,24434.0
Netherlands,EV sales,FCEV,2018,N/A,13.0
Netherlands,EV sales,PHEV,2018,N/A,3536.0
Netherlands,EV sales share,EV,2018,percent,6.291
Netherlands,EV sales,BEV,2019,N/A,62004.0
Netherlands,EV sales,FCEV,2019,N/A,156.0
Netherlands,EV sales,PHEV,2019,N/A,5518.0
Netherlands,EV sales share,EV,2019,percent,15.151
Netherlands,EV sales,BEV,2020,N/A,72299.0
Netherlands,EV sales,FCEV,2020,N/A,146.0
Netherlands,EV sales,PHEV,2020,N/A,15960.0
Netherlands,EV sales share,EV,2020,percent,25.028
New Zealand,EV sales,BEV,2010,N/A,10.0
New Zealand,EV sales share,EV,2010,percent,0.006
New Zealand,EV sales,BEV,2011,N/A,13.0
New Zealand,EV sales,PHEV,2011,N/A,2.0
New Zealand,EV sales share,EV,2011,percent,0.01
New Zealand,EV sales,BEV,2012,N/A,22.0
New Zealand,EV sales,PHEV,2012,N/A,5.0
New Zealand,EV sales share,EV,2012,percent,0.017
New Zealand,EV sales,BEV,2013,N/A,30.0
New Zealand,EV sales,PHEV,2013,N/A,6.0
New Zealand,EV sales share,EV,2013,percent,0.019
New Zealand,EV sales,BEV,2014,N/A,112.0
New Zealand,EV sales,PHEV,2014,N/A,207.0
New Zealand,EV sales share,EV,2014,percent,0.14
New Zealand,EV sales,BEV,2015,N/A,295.0
New Zealand,EV sales,PHEV,2015,N/A,199.0
New Zealand,EV sales share,EV,2015,percent,0.199
New Zealand,EV sales,BEV,2016,N/A,1162.0
New Zealand,EV sales,PHEV,2016,N/A,340.0
New Zealand,EV sales share,EV,2016,percent,0.567
New Zealand,EV sales,BEV,2017,N/A,2935.0
New Zealand,EV sales,PHEV,2017,N/A,537.0
New Zealand,EV sales share,EV,2017,percent,1.17
New Zealand,EV sales,BEV,2018,N/A,4356.0
New Zealand,EV sales,PHEV,2018,N/A,1185.0
New Zealand,EV sales share,EV,2018,percent,1.936
New Zealand,EV sales,BEV,2019,N/A,5280.0
New Zealand,EV sales,FCEV,2019,N/A,2.0
New Zealand,EV sales,PHEV,2019,N/A,1604.0
New Zealand,EV sales share,EV,2019,percent,2.816
New Zealand,EV sales,BEV,2020,N/A,3908.0
New Zealand,EV sales,FCEV,2020,N/A,3.0
New Zealand,EV sales,PHEV,2020,N/A,1458.0
New Zealand,EV sales share,EV,2020,percent,2.769
Norway,EV sales,BEV,2010,N/A,905.0
Norway,EV sales,PHEV,2010,N/A,2.0
Norway,EV sales share,EV,2010,percent,0.705
Norway,EV sales,BEV,2011,N/A,1229.0
Norway,EV sales,PHEV,2011,N/A,1.0
Norway,EV sales share,EV,2011,percent,0.894
Norway,EV sales,BEV,2012,N/A,4122.0
Norway,EV sales,PHEV,2012,N/A,333.0
Norway,EV sales share,EV,2012,percent,3.231
Norway,EV sales,BEV,2013,N/A,7882.0
Norway,EV sales,PHEV,2013,N/A,323.0
Norway,EV sales share,EV,2013,percent,5.865
Norway,EV sales,BEV,2014,N/A,19771.0
