region,year,product,lge_per_100km
Chile,2011,All vehicles,8.68
Chile,2011,City car,7.13
Chile,2011,Diesel,9.26
Chile,2011,Hybrid,5.34
Chile,2011,Large SUV/Pick-up,10.55
Chile,2011,Medium car,8.41
Chile,2011,Petrol,8.52
Chile,2011,Van/LCV,8.41
Chile,2012,All vehicles,8.49
Chile,2012,City car,7.01
Chile,2012,Diesel,9.29
Chile,2012,Hybrid,5.75
Chile,2012,Large car,8.72
Chile,2012,Large SUV/Pick-up,10.76
Chile,2012,Medium car,8.12
Chile,2012,Petrol,8.17
Chile,2012,Small SUV/Pick-up,9.33
Chile,2012,Van/LCV,8.5
Chile,2013,All vehicles,8.3
Chile,2013,City car,6.95
Chile,2013,Diesel,8.74
Chile,2013,Hybrid,5.54
Chile,2013,Large car,8.28
Chile,2013,Large SUV/Pick-up,10.37
Chile,2013,Medium car,7.91
Chile,2013,Petrol,8.1
Chile,2013,Small SUV/Pick-up,9.19
Chile,2013,Van/LCV,8.39
Chile,2014,All vehicles,7.99
Chile,2014,City car,6.8
Chile,2014,Diesel,7.96
Chile,2014,Electric,1.81
Chile,2014,Hybrid,4.97
Chile,2014,Large car,8.31
Chile,2014,Large SUV/Pick-up,9.75
Chile,2014,Medium car,7.33
Chile,2014,Petrol,8.01
Chile,2014,Plug-in,1.9
Chile,2014,Small SUV/Pick-up,8.87
Chile,2014,Van/LCV,8.18
Chile,2015,All vehicles,8.07
Chile,2015,City car,6.73
Chile,2015,Diesel,8.01
Chile,2015,Electric,1.39
Chile,2015,Hybrid,5.05
Chile,2015,Large car,8.55
Chile,2015,Large SUV/Pick-up,9.73
Chile,2015,Medium car,7.19
Chile,2015,Petrol,8.1
Chile,2015,Plug-in,1.9
Chile,2015,Small SUV/Pick-up,8.91
Chile,2015,Van/LCV,8.28
Chile,2016,All vehicles,7.96
Chile,2016,City car,6.72
Chile,2016,Diesel,7.67
Chile,2016,Electric,1.57
Chile,2016,Hybrid,5.19
Chile,2016,Large car,8.53
Chile,2016,Large SUV/Pick-up,9.89
Chile,2016,Medium car,7.07
Chile,2016,Petrol,8.06
Chile,2016,Plug-in,2.71
Chile,2016,Small SUV/Pick-up,8.66
Chile,2016,Van/LCV,8.46
Chile,2017,All vehicles,8.01
Chile,2017,City car,6.73
Chile,2017,Diesel,7.8
Chile,2017,Electric,1.92
Chile,2017,Hybrid,4.8
Chile,2017,Large car,8.37
Chile,2017,Large SUV/Pick-up,9.83
Chile,2017,Medium car,7.2
Chile,2017,Petrol,8.09
Chile,2017,Plug-in,2.72
Chile,2017,Small SUV/Pick-up,8.52
Chile,2017,Van/LCV,8.38
Chile,2018,All vehicles,7.98
Chile,2018,City car,6.67
Chile,2018,Diesel,7.96
Chile,2018,Electric,1.67
Chile,2018,Hybrid,4.84
Chile,2018,Large car,8.32
Chile,2018,Large SUV/Pick-up,10.08
Chile,2018,Medium car,6.95
Chile,2018,Petrol,8.0
Chile,2018,Plug-in,2.5
Chile,2018,Small SUV/Pick-up,8.27
Chile,2018,Van/LCV,8.48
Chile,2019,All vehicles,7.93
Chile,2019,City car,6.65
Chile,2019,Diesel,8.05
Chile,2019,Electric,1.69
Chile,2019,Hybrid,4.95
Chile,2019,Large car,8.39
Chile,2019,Large SUV/Pick-up,10.08
Chile,2019,Medium car,6.95
Chile,2019,Petrol,7.91
Chile,2019,Plug-in,2.68
Chile,2019,Small SUV/Pick-up,8.15
Chile,2019,Van/LCV,8.43
China,2005,All vehicles,8.67
China,2005,City car,6.73
China,2005,Large car,9.72
China,2005,Large SUV/Pick-up,14.28
China,2005,Medium car,8.82
China,2005,Small SUV/Pick-up,10.85
China,2005,Van/LCV,7.9
China,2008,All vehicles,8.79
China,2008,City car,7.5
China,2008,Diesel,7.5
China,2008,Large car,9.63
China,2008,Large SUV/Pick-up,14.68
China,2008,Medium car,8.48
China,2008,Petrol,8.78
China,2008,Small SUV/Pick-up,10.2
China,2008,Van/LCV,8.49
China,2010,All vehicles,8.7
China,2010,City car,7.24
China,2010,Diesel,8.84
China,2010,Large car,9.52
China,2010,Large SUV/Pick-up,12.02
China,2010,Medium car,8.53
China,2010,Petrol,8.71
China,2010,Small SUV/Pick-up,10.2
China,2010,Van/LCV,8.45
China,2011,All vehicles,8.72
China,2011,City car,7.2
China,2011,Diesel,9.07
China,2011,Large car,9.55
China,2011,Large SUV/Pick-up,11.45
China,2011,Medium car,8.39
China,2011,Petrol,8.71
China,2011,Small SUV/Pick-up,10.16
China,2011,Van/LCV,8.47
China,2012,All vehicles,8.57
China,2012,City car,7.13
China,2012,CNG,8.35
China,2012,Diesel,8.8
China,2012,Hybrid,5.63
China,2012,Large car,9.24
China,2012,Large SUV/Pick-up,10.83
China,2012,Medium car,8.13
China,2012,Petrol,8.57
China,2012,Small SUV/Pick-up,9.98
China,2012,Van/LCV,8.36
China,2013,All vehicles,8.48
China,2013,City car,7.01
China,2013,CNG,8.8
China,2013,Diesel,8.77
China,2013,Hybrid,6.36
China,2013,Large car,8.99
China,2013,Large SUV/Pick-up,10.86
China,2013,Medium car,7.96
China,2013,Petrol,8.48
China,2013,Small SUV/Pick-up,9.63
China,2013,Van/LCV,8.44
China,2014,All vehicles,8.18
China,2014,City car,6.82
China,2014,CNG,9.86
China,2014,Diesel,8.86
China,2014,Electric,1.56
China,2014,Hybrid,5.74
China,2014,Large car,8.47
China,2014,Large SUV/Pick-up,10.64
China,2014,Medium car,7.63
China,2014,Petrol,8.18
China,2014,Plug-in,1.6
China,2014,Small SUV/Pick-up,9.11
China,2014,Van/LCV,7.93
China,2015,All vehicles,8.03
China,2015,City car,6.48
China,2015,CNG,9.5
China,2015,Diesel,8.94
China,2015,Electric,1.54
China,2015,Hybrid,4.31
China,2015,Large car,8.37
China,2015,Large SUV/Pick-up,10.37
China,2015,Medium car,7.47
China,2015,Petrol,8.07
China,2015,Plug-in,1.6
China,2015,Small SUV/Pick-up,8.72
China,2015,Van/LCV,7.97
China,2016,All vehicles,7.71
China,2016,City car,6.32
China,2016,CNG,9.41
China,2016,Diesel,8.63
China,2016,Electric,1.7
China,2016,Hybrid,5.13
China,2016,Large car,7.9
China,2016,Large SUV/Pick-up,10.07
China,2016,Medium car,7.05
China,2016,Petrol,7.78
China,2016,Plug-in,2.11
China,2016,Small SUV/Pick-up,8.3
China,2016,Van/LCV,7.97
China,2017,All vehicles,7.6
China,2017,City car,5.21
China,2017,CNG,9.49
China,2017,Diesel,8.54
China,2017,Electric,1.55
China,2017,Hybrid,5.15
China,2017,Large car,7.73
China,2017,Large SUV/Pick-up,10.07
China,2017,Medium car,7.0
China,2017,Petrol,7.76
China,2017,Plug-in,2.06
China,2017,Small SUV/Pick-up,8.15
China,2017,Van/LCV,7.93
China,2018,All vehicles,7.33
China,2018,City car,4.68
China,2018,CNG,10.04
China,2018,Diesel,9.3
China,2018,Electric,1.62
China,2018,Hybrid,5.17
China,2018,Large car,7.67
China,2018,Large SUV/Pick-up,9.7
China,2018,LPG,5.13
China,2018,Medium car,6.72
China,2018,Petrol,7.56
China,2018,Plug-in,2.99
China,2018,Small SUV/Pick-up,7.73
China,2018,Van/LCV,9.65
China,2019,All vehicles,7.2
China,2019,City car,4.85
China,2019,CNG,10.14
China,2019,Diesel,9.26
China,2019,Electric,1.61
China,2019,Hybrid,5.26
China,2019,Large car,7.27
China,2019,Large SUV/Pick-up,9.82
China,2019,LPG,5.13
China,2019,Medium car,6.5
China,2019,Petrol,7.44
China,2019,Plug-in,3.2
China,2019,Small SUV/Pick-up,7.6
China,2019,Van/LCV,9.22
France,2005,All vehicles,6.48
France,2005,City car,5.9
France,2005,Diesel,6.17
France,2005,Hybrid,4.95
France,2005,Large car,7.2
France,2005,Large SUV/Pick-up,10.21
France,2005,Medium car,6.45
France,2005,Petrol,7.32
France,2005,Small SUV/Pick-up,8.42
France,2005,Van/LCV,6.98
France,2008,All vehicles,6.01
France,2008,City car,5.57
France,2008,CNG,5.72
France,2008,Diesel,5.84
France,2008,Hybrid,4.97
France,2008,Large car,6.92
France,2008,Large SUV/Pick-up,10.04
France,2008,Medium car,6.07
France,2008,Petrol,6.7
France,2008,Small SUV/Pick-up,7.76
France,2008,Van/LCV,6.0
France,2010,All vehicles,5.96
France,2010,City car,5.42
France,2010,CNG,7.49
France,2010,Diesel,5.73
France,2010,Hybrid,5.24
France,2010,Large car,6.7
France,2010,Large SUV/Pick-up,9.65
France,2010,LPG,8.35
France,2010,Medium car,5.86
France,2010,Petrol,6.39
France,2010,Small SUV/Pick-up,6.8
France,2010,Van/LCV,7.07
France,2011,All vehicles,5.81
France,2011,City car,5.29
France,2011,CNG,8.15
France,2011,Diesel,5.62
France,2011,Hybrid,4.95
France,2011,Large car,6.35
France,2011,Large SUV/Pick-up,9.39
France,2011,LPG,7.51
France,2011,Medium car,5.57
France,2011,Petrol,6.38
France,2011,Small SUV/Pick-up,6.56
France,2011,Van/LCV,6.99
France,2012,All vehicles,5.62
France,2012,City car,5.09
France,2012,CNG,8.38
France,2012,Diesel,5.43
France,2012,Hybrid,4.98
France,2012,Large car,6.03
France,2012,Large SUV/Pick-up,9.14
France,2012,LPG,8.95
France,2012,Medium car,5.32
France,2012,Petrol,6.23
France,2012,Small SUV/Pick-up,6.34
France,2012,Van/LCV,6.88
France,2013,All vehicles,5.42
France,2013,City car,4.95
France,2013,CNG,7.69
France,2013,Diesel,5.24
